"name","nationality_label","prize","lat","lon"
"August Krogh","Denmark","Nobel Prize in Physiology or Medicine","56","10"
"Carl Bosch","Germany","NULL","51","9"
"Henry Hallett Dale","United Kingdom","Nobel Prize in Physiology or Medicine","54","-2"
"Róbert Bárány","Austria","Nobel Prize in Physiology or Medicine","47.33333333","13.33333333"
"Adolf Otto Reinhold Windaus","Germany","Nobel Prize in Chemistry","51","9"
"Frederick Soddy","United Kingdom","{Royal Society|Soddy (crater)|Nobel Prize in Chemistry}","54","-2"
"Heinrich Otto Wieland","Germany","{Royal Society|Nobel Prize in Chemistry}","51","9"
"Francis William Aston","United Kingdom","Nobel Prize in Chemistry","54","-2"
"Charles Glover Barkla","United Kingdom","{Hughes Medal|Nobel Prize in Physics}","54","-2"
"George Whipple","United States","Nobel Prize in Physiology or Medicine","38","-97"
"Owen Willans Richardson","United Kingdom","Hughes Medal","54","-2"
"Francis Peyton Rous","United States","Nobel Prize in Physiology or Medicine","38","-97"
"Max von Laue","Germany","NULL","51","9"
"John Boyd Orr 1st Baron Boyd-Orr","United Kingdom","{Royal Society|Nobel Peace Prize}","54","-2"
"Hans Fischer","Germany","Nobel Prize in Chemistry","51","9"
"Walter Rudolf Hess","Switzerland","Nobel Prize in Physiology or Medicine","47","8"
"Percy Williams Bridgman","United States","{Royal Society|Rumford Prize|Nobel Prize in Physics|Elliott Cresson Medal}","38","-97"
"Sigrid Undset","Norway","NULL","62","10"
"James Franck","Germany","Nobel Prize in Physics","51","9"
"Otto Heinrich Warburg","Germany","{Pour le Mérite|Royal Society|Nobel Prize in Physiology or Medicine|Iron Cross}","51","9"
"Victor Francis Hess","Austria","Nobel Prize in Physics","47.33333333","13.33333333"
"Norman Haworth","United Kingdom","Nobel Prize in Chemistry","54","-2"
"Theodor Svedberg","Sweden","{Royal Society|Franklin Medal|Nobel Prize in Chemistry}","62","15"
"Friedrich Bergius","Germany","Nobel Prize in Chemistry","51","9"
"George Minot","United States","Nobel Prize in Physiology or Medicine","38","-97"
"George de Hevesy","Hungary","{Royal Society|Nobel Prize in Chemistry}","47","20"
"François Mauriac","France","NULL","46","2"
"Manne Siegbahn","Sweden","Nobel Prize in Physics","62","15"
"Robert Robinson (organic chemist)","United Kingdom","{Franklin Medal|Nobel Prize in Chemistry}","54","-2"
"Erwin Schrödinger","Austria","Max Planck Medal","47.33333333","13.33333333"
"James B. Sumner","United States","Nobel Prize in Chemistry","38","-97"
"Bernardo Houssay","Argentina","Nobel Prize in Physiology or Medicine","-34","-64"
"Frans Eemil Sillanpää","Finland","NULL","64","26"
"Frits Zernike","Netherlands","{Royal Society|Rumford Medal|Nobel Prize in Physics}","52.5","5.75"
"Shmuel Yosef Agnon","Israel","NULL","31.47","35.13"
"Herbert Spencer Gasser","United States","{Royal Society|Nobel Prize in Physiology or Medicine}","38","-97"
"C. V. Raman","India","Royal Society","20","77"
"Paul Karrer","Switzerland","Nobel Prize in Chemistry","47","8"
"Hermann Joseph Muller","United States","{American Humanist Association|Royal Society|Nobel Prize in Physiology or Medicine|Linnean Society of London}","38","-97"
"Frederick Banting","Canada","Nobel Prize in Physiology or Medicine","60","-95"
"Pär Lagerkvist","Sweden","NULL","62","15"
"Ivo Andrić","Croatia","Nobel Prize in Literature","45.16666666","15.5"
"Louis de Broglie","France","Nobel Prize in Physics","46","2"
"Pearl S. Buck","United States","NULL","38","-97"
"Edward Victor Appleton","United Kingdom","{Hughes Medal|Royal Society|Faraday Medal|Appleton Medal and Prize|Royal Medal}","54","-2"
"Arthur Compton","United States","NULL","38","-97"
"George Paget Thomson","United Kingdom","{Nobel Prize in Physics|Franklin Institute}","54","-2"
"Corneille Heymans","Belgium","Nobel Prize in Physiology or Medicine","50.83333333","4"
"Edward Adelbert Doisy","United States","{Nobel Prize in Physiology or Medicine|Willard Gibbs Award}","38","-97"
"Dickinson W. Richards","United States","Nobel Prize in Physiology or Medicine","38","-97"
"Artturi Ilmari Virtanen","Finland","Nobel Prize in Chemistry","64","26"
"Ragnar Frisch","Norway","Nobel Memorial Prize in Economic Sciences","62","10"
"Gerhard Domagk","Germany","{Royal Society|Nobel Prize in Physiology or Medicine}","51","9"
"André Frédéric Cournand","France","Nobel Prize in Physiology or Medicine","46","2"
"William Giauque","United States","{Nobel Prize in Chemistry|Willard Gibbs Award|Elliott Cresson Medal}","38","-97"
"Robert S. Mulliken","United States","{Nobel Prize in Chemistry|Priestley Medal}","38","-97"
"Carl Ferdinand Cori","Austria","{Nobel Prize in Physiology or Medicine|Willard Gibbs Award}","47.33333333","13.33333333"
"Irène Joliot-Curie","France","Nobel Prize in Chemistry","46","2"
"Patrick Blackett Baron Blackett","United Kingdom","Nobel Prize in Physics","54","-2"
"Ronald George Wreyford Norrish","United Kingdom","{Royal Society|Nobel Prize in Chemistry}","54","-2"
"Odd Hassel","Norway","Nobel Prize in Chemistry","62","10"
"Tadeus Reichstein","Poland","Nobel Prize in Physiology or Medicine","52","20"
"Gunnar Myrdal","Sweden","Nobel Memorial Prize in Economic Sciences","62","15"
"Vicente Aleixandre","Spain","NULL","40","-4"
"Yasunari Kawabata","Japan","NULL","36","138"
"Friedrich Hayek","United Kingdom","{Presidential Medal of Freedom|Nobel Memorial Prize in Economic Sciences}","54","-2"
"Georg von Békésy","Hungary","Nobel Prize in Physiology or Medicine","47","20"
"Paul Hermann Müller","Switzerland","Nobel Prize in Physiology or Medicine","47","8"
"Miguel Ángel Asturias","Guatemala","NULL","15.5","-90.25"
"John Hasbrouck Van Vleck","United States","Royal Society","38","-97"
"Albert Claude","Belgium","{Louisa Gross Horwitz Prize|Nobel Prize in Physiology or Medicine|Paul Ehrlich and Ludwig Darmstaedter Prize}","50.83333333","4"
"Bertil Ohlin","Sweden","NULL","62","15"
"Frank Macfarlane Burnet","Australia","Nobel Prize in Physiology or Medicine","-27","133"
"Max Theiler","South Africa","Nobel Prize in Physiology or Medicine","-29","24"
"Hans Adolf Krebs","Germany","Nobel Prize in Physiology or Medicine","51","9"
"Wolfgang Pauli","Austria","{Max Planck Medal|Matteucci Medal|Lorentz Medal}","47.33333333","13.33333333"
"Richard Kuhn","Germany","NULL","51","9"
"Eyvind Johnson","Sweden","NULL","62","15"
"Simon Kuznets","United States","Nobel Memorial Prize in Economic Sciences","38","-97"
"Linus Pauling","United States","{Lomonosov Gold Medal|Nobel Prize in Chemistry|Priestley Medal|Nobel Peace Prize|Lenin Peace Prize}","38","-97"
"Werner Heisenberg","Germany","Max Planck Medal","51","9"
"Theodore Schultz","United States","Nobel Memorial Prize in Economic Sciences","38","-97"
"Halldór Laxness","Iceland","NULL","65","-18"
"Kurt Alder","Germany","Nobel Prize in Chemistry","51","9"
"Arne Tiselius","Sweden","{Royal Society|Franklin Medal|Nobel Prize in Chemistry}","62","15"
"Alfred Kastler","France","Nobel Prize in Physics","46","2"
"André Michel Lwoff","France","{Nobel Prize in Physiology or Medicine|Leeuwenhoek Medal}","46","2"
"Ernest Walton","Ireland","NULL","53","-8"
"Haldan Keffer Hartline","United States","Nobel Prize in Physiology or Medicine","38","-97"
"Lars Onsager","Norway","{Nobel Prize in Chemistry|Willard Gibbs Award}","62","10"
"Jan Tinbergen","Netherlands","Nobel Memorial Prize in Economic Sciences","52.5","5.75"
"George Davis Snell","United States","Nobel Prize in Physiology or Medicine","38","-97"
"Giulio Natta","Italy","{Lomonosov Gold Medal|Nobel Prize in Chemistry}","42.83333333","12.83333333"
"C. F. Powell","United Kingdom","{Royal Society|Nobel Prize in Physics|Royal Medal}","54","-2"
"Hugo Theorell","Sweden","Nobel Prize in Physiology or Medicine","62","15"
"Adolf Butenandt","Germany","{Nobel Prize in Chemistry|War Merit Cross}","51","9"
"John Hicks","United Kingdom","Nobel Memorial Prize in Economic Sciences","54","-2"
"Gerhard Herzberg","Germany","Nobel Prize in Chemistry","51","9"
"Ulf von Euler","Sweden","Nobel Prize in Physiology or Medicine","62","15"
"Elias Canetti","Bulgaria","NULL","43","25"
"George H. Hitchings","United States","Nobel Prize in Physiology or Medicine","38","-97"
"Felix Bloch","Switzerland","NULL","47","8"
"Nevill Francis Mott","United Kingdom","NULL","54","-2"
"Dag Hammarskjöld","Sweden","NULL","62","15"
"Ernst Ruska","Germany","Nobel Prize in Physics","51","9"
"Luis Federico Leloir","Argentina","NULL","-34","-64"
"George Wald","United States","Nobel Prize in Physiology or Medicine","38","-97"
"Samuel Beckett","Ireland","NULL","53","-8"
"J. Hans D. Jensen","Germany","NULL","51","9"
"James Meade","United Kingdom","Nobel Memorial Prize in Economic Sciences","54","-2"
"Alexander R. Todd Baron Todd","United Kingdom","Nobel Prize in Chemistry","54","-2"
"Hideki Yukawa","Japan","Nobel Prize in Physics","36","138"
"Daniel Bovet","Switzerland","Nobel Prize in Physiology or Medicine","47","8"
"Joseph Rotblat","Poland","{Royal Society|Order of the British Empire|Order of St Michael and St George|Nobel Peace Prize|Albert Einstein Peace Prize}","52","20"
"Alfred Hershey","United States","Nobel Prize in Physiology or Medicine","38","-97"
"Rita Levi-Montalcini","Italy","{Nobel Prize in Physiology or Medicine|National Medal of Science}","42.83333333","12.83333333"
"Jacques Monod","France","Nobel Prize in Physiology or Medicine","46","2"
"Tjalling Koopmans","Netherlands","Nobel Memorial Prize in Economic Sciences","52.5","5.75"
"Paul Flory","United States","NULL","38","-97"
"Dorothy Hodgkin","United Kingdom","NULL","54","-2"
"Ronald Coase","United Kingdom","Nobel Memorial Prize in Economic Sciences","54","-2"
"Archer John Porter Martin","United Kingdom","{Nobel Prize in Chemistry|Franklin Institute}","54","-2"
"Mother Teresa","India","NULL","20","77"
"William Shockley","United States","NULL","38","-97"
"Trygve Haavelmo","Norway","Nobel Memorial Prize in Economic Sciences","62","10"
"Odysseas Elytis","Greece","NULL","39","22"
"George Stigler","United States","{National Medal of Science|Nobel Memorial Prize in Economic Sciences}","38","-97"
"Naguib Mahfouz","Egypt","Nobel Prize in Literature","27","30"
"Feodor Felix Konrad Lynen","Germany","{Royal Society|Nobel Prize in Physiology or Medicine}","51","9"
"Maurice Allais","France","Nobel Memorial Prize in Economic Sciences","46","2"
"Melvin Calvin","United States","NULL","38","-97"
"Niels Kaj Jerne","Denmark","Nobel Prize in Physiology or Medicine","56","10"
"Herbert C. Brown","United States","{Nobel Prize in Chemistry|National Medal of Science|Perkin Medal|Priestley Medal|Elliott Cresson Medal}","38","-97"
"Edward Mills Purcell","United States","NULL","38","-97"
"George Emil Palade","Romania","{Nobel Prize in Physiology or Medicine|National Medal of Science}","46","25"
"Salvador Luria","Italy","Nobel Prize in Physiology or Medicine","42.83333333","12.83333333"
"Wolfgang Paul","Germany","NULL","51","9"
"Stanford Moore","United States","Nobel Prize in Chemistry","38","-97"
"Richard Stone","United Kingdom","Nobel Memorial Prize in Economic Sciences","54","-2"
"Willis Lamb","United States","NULL","38","-97"
"Renato Dulbecco","Italy","{Nobel Prize in Physiology or Medicine|Selman A. Waksman Award in Microbiology}","42.83333333","12.83333333"
"Max Perutz","United Kingdom","Nobel Prize in Chemistry","54","-2"
"Norman Borlaug","United States","{Padma Vibhushan|Royal Society|Public Welfare Medal|National Medal of Science|Nobel Peace Prize}","38","-97"
"William Vickrey","Canada","Nobel Memorial Prize in Economic Sciences","60","-95"
"Thomas Huckle Weller","United States","Nobel Prize in Physiology or Medicine","38","-97"
"Paul Samuelson","United States","{John Bates Clark Medal|Nobel Memorial Prize in Economic Sciences}","38","-97"
"Henry Taube","Canada","{Nobel Prize in Chemistry|Priestley Medal}","60","-95"
"Earl Wilbur Sutherland Jr.","United States","Nobel Prize in Physiology or Medicine","38","-97"
"Arthur Lewis (economist)","Saint Lucia","Nobel Memorial Prize in Economic Sciences","13.88333333","-60.96666666"
"Norman Foster Ramsey Jr.","United States","{Oersted Medal|Nobel Prize in Physics|Davisson–Germer Prize in Atomic or Surface Physics|National Medal of Science|Ernest Orlando Lawrence Award|IEEE Medal of Honor}","38","-97"
"Charles Hard Townes","United States","NULL","38","-97"
"Clifford Shull","United States","Nobel Prize in Physics","38","-97"
"Frederick Chapman Robbins","United States","Nobel Prize in Physiology or Medicine","38","-97"
"Herbert A. Simon","United States","{John von Neumann Theory Prize|Turing Award|National Medal of Science|Nobel Memorial Prize in Economic Sciences}","38","-97"
"Robert F. Furchgott","United States","Nobel Prize in Physiology or Medicine","38","-97"
"Sune Bergström","Sweden","{Louisa Gross Horwitz Prize|Nobel Prize in Physiology or Medicine}","62","15"
"Jean Dausset","France","{Nobel Prize in Physiology or Medicine|Wolf Prize in Medicine}","46","2"
"Camilo José Cela","Spain","NULL","40","-4"
"Herbert A. Hauptman","United States","Nobel Prize in Chemistry","38","-97"
"John Cornforth","Australia","{Royal Society|Nobel Prize in Chemistry|Copley Medal|Royal Medal|Corday–Morgan Medal}","-27","133"
"John Fenn (chemist)","United States","Nobel Prize in Chemistry","38","-97"
"John Kendrew","United Kingdom","Nobel Prize in Chemistry","54","-2"
"Leonid Hurwicz","Poland","{National Medal of Science|Nobel Memorial Prize in Economic Sciences}","52","20"
"Ilya Prigogine","Belgium","Nobel Prize in Chemistry","50.83333333","4"
"Ernst Otto Fischer","Germany","Nobel Prize in Chemistry","51","9"
"Paul D. Boyer","United States","{Tolman Award|Nobel Prize in Chemistry}","38","-97"
"Derek Barton","United Kingdom","{Nobel Prize in Chemistry|Copley Medal|Priestley Medal}","54","-2"
"James Tobin","United States","{John Bates Clark Medal|Nobel Memorial Prize in Economic Sciences}","38","-97"
"Edward B. Lewis","United States","Nobel Prize in Physiology or Medicine","38","-97"
"Edwin G. Krebs","United States","Nobel Prize in Physiology or Medicine","38","-97"
"Julian Schwinger","United States","NULL","38","-97"
"Kai Siegbahn","Sweden","Nobel Prize in Physics","62","15"
"Anwar Sadat","Egypt","NULL","27","30"
"Bertram Brockhouse","Canada","Nobel Prize in Physics","60","-95"
"Jens Christian Skou","Denmark","Nobel Prize in Chemistry","56","10"
"Franco Modigliani","Italy","NULL","42.83333333","12.83333333"
"Martin Ryle","United Kingdom","{Hughes Medal|Henry Draper Medal|Nobel Prize in Physics|Bruce Medal|Gold Medal of the Royal Astronomical Society|Royal Medal}","54","-2"
"Kenichi Fukui","Japan","{Nobel Prize in Chemistry|Order of the Rising Sun|Order of Culture}","36","138"
"Godfrey Hounsfield","United Kingdom","Nobel Prize in Physiology or Medicine","54","-2"
"Donald J. Cram","United States","{Nobel Prize in Chemistry|National Medal of Science|Guggenheim Fellowship}","38","-97"
"James M. Buchanan","United States","Nobel Memorial Prize in Economic Sciences","38","-97"
"Joseph Murray","United States","Nobel Prize in Physiology or Medicine","38","-97"
"William Lipscomb","United States","Nobel Prize in Chemistry","38","-97"
"Peter D. Mitchell","United Kingdom","Nobel Prize in Chemistry","54","-2"
"Lawrence Klein","United States","{John Bates Clark Medal|Nobel Memorial Prize in Economic Sciences}","38","-97"
"Douglass North","United States","Nobel Memorial Prize in Economic Sciences","38","-97"
"John Harsanyi","United States","{John von Neumann Award|Nobel Memorial Prize in Economic Sciences}","38","-97"
"Owen Chamberlain","United States","Nobel Prize in Physics","38","-97"
"George Porter","United Kingdom","Nobel Prize in Chemistry","54","-2"
"Jack Steinberger","Germany","Nobel Prize in Physics","51","9"
"Thomas Schelling","United States","Nobel Memorial Prize in Economic Sciences","38","-97"
"Gérard Debreu","France","Nobel Memorial Prize in Economic Sciences","46","2"
"Geoffrey Wilkinson","United Kingdom","{Royal Society|Nobel Prize in Chemistry}","54","-2"
"Rosalyn Sussman Yalow","United States","{Albert Lasker Award for Basic Medical Research|Nobel Prize in Physiology or Medicine|National Medal of Science|AMA Scientific Achievement Award}","38","-97"
"Arthur Leonard Schawlow","United States","Nobel Prize in Physics","38","-97"
"Robert Bruce Merrifield","United States","Nobel Prize in Chemistry","38","-97"
"Kenneth Arrow","United States","{John von Neumann Theory Prize|John Bates Clark Medal|National Medal of Science|Nobel Memorial Prize in Economic Sciences}","38","-97"
"Hans Georg Dehmelt","Germany","Nobel Prize in Physics","51","9"
"Yitzhak Rabin","United Kingdom","NULL","54","-2"
"Stanley Cohen (biochemist)","United States","{Franklin Medal|Nobel Prize in Physiology or Medicine}","38","-97"
"Leon M. Lederman","United States","{Nobel Prize in Physics|Vannevar Bush Award|Wolf Prize in Physics|William Procter Prize for Scientific Achievement|National Medal of Science}","38","-97"
"Aage Bohr","Denmark","{Nobel Prize in Physics|Franklin Institute}","56","10"
"José Saramago","Portugal","NULL","39.5","-8"
"Jack Kilby","United States","{Nobel Prize in Physics|IEEE Medal of Honor}","38","-97"
"Wisława Szymborska","Poland","NULL","52","20"
"Rudolph A. Marcus","United States","Nobel Prize in Chemistry","38","-97"
"Arvid Carlsson","Sweden","Nobel Prize in Physiology or Medicine","62","15"
"Philip Warren Anderson","United States","NULL","38","-97"
"Nadine Gordimer","South Africa","NULL","-29","24"
"Walter Kohn","United States","{Oliver E. Buckley Condensed Matter Prize|Nobel Prize in Chemistry}","38","-97"
"Lloyd Shapley","United States","{John von Neumann Theory Prize|Nobel Memorial Prize in Economic Sciences}","38","-97"
"Merton Miller","United States","Nobel Memorial Prize in Economic Sciences","38","-97"
"Daniel Carleton Gajdusek","United States","Nobel Prize in Physiology or Medicine","38","-97"
"Roger Guillemin","France","{Nobel Prize in Physiology or Medicine|National Medal of Science}","46","2"
"James Black (pharmacologist)","United Kingdom","{Lasker-DeBakey Clinical Medical Research Award|Nobel Prize in Physiology or Medicine|Royal Medal|Artois-Baillet Latour Foundation}","54","-2"
"Robert Solow","United States","{John Bates Clark Medal|National Medal of Science|Nobel Memorial Prize in Economic Sciences}","38","-97"
"Georges Charpak","France","Nobel Prize in Physics","46","2"
"Paul Greengard","United States","{Nobel Prize in Physiology or Medicine|NAS Award in the Neurosciences}","38","-97"
"Roy J. Glauber","United States","NULL","38","-97"
"Simon van der Meer","Netherlands","Nobel Prize in Physics","52.5","5.75"
"John Linsley","United States","Nobel Prize in Physics","38","-97"
"Joshua Lederberg","United States","{Presidential Medal of Freedom|Nobel Prize in Physiology or Medicine|National Medal of Science}","38","-97"
"Robert Edwards (physiologist)","United Kingdom","Nobel Prize in Physiology or Medicine","54","-2"
"Leo Esaki","Japan","{Stuart Ballantine Medal|Nobel Prize in Physics|IEEE Medal of Honor}","36","138"
"Martin Rodbell","United States","{Nobel Prize in Physiology or Medicine|Gairdner Foundation International Award|Richard Lounsbery Award}","38","-97"
"John Pople","United Kingdom","Nobel Prize in Chemistry","54","-2"
"Paul Berg","United States","{Nobel Prize in Chemistry|National Medal of Science}","38","-97"
"Henry Way Kendall","United States","Nobel Prize in Physics","38","-97"
"Robert Fogel","United States","NULL","38","-97"
"David H. Hubel","Canada","Nobel Prize in Physiology or Medicine","60","-95"
"Ben Roy Mottelson","Denmark","{Nobel Prize in Physics|Franklin Institute}","56","10"
"Masatoshi Koshiba","Japan","{Nobel Prize in Physics|Wolf Prize in Physics|Humboldt Prize}","36","138"
"Manfred Eigen","Germany","Nobel Prize in Chemistry","51","9"
"Günter Grass","Germany","NULL","51","9"
"Gabriel García Márquez","Colombia","NULL","4","-72"
"Harry Markowitz","United States","{John von Neumann Theory Prize|Nobel Memorial Prize in Economic Sciences}","38","-97"
"Marshall Warren Nirenberg","United States","NULL","38","-97"
"K. Alex Müller","Switzerland","Nobel Prize in Physics","47","8"
"Sydney Brenner","South Africa","{Nobel Prize in Physiology or Medicine|King Faisal International Prize|Copley Medal|Harvey Prize}","-29","24"
"César Milstein","Argentina","{Franklin Medal|Nobel Prize in Physiology or Medicine|Wolf Prize in Medicine|William Bate Hardy Prize}","-34","-64"
"Vernon L. Smith","United States","NULL","38","-97"
"Martin Lewis Perl","United States","Nobel Prize in Physics","38","-97"
"John Vane","United Kingdom","{Nobel Prize in Physiology or Medicine|Lasker Award}","54","-2"
"Herbert Kroemer","Germany","{Nobel Prize in Physics|IEEE Medal of Honor}","51","9"
"James Watson","United States","{Nobel Prize in Physiology or Medicine|Copley Medal}","38","-97"
"Elie Wiesel","United States","{Presidential Medal of Freedom|Congressional Gold Medal|Legion of Honour|Order of the British Empire|Nobel Peace Prize}","38","-97"
"John Forbes Nash Jr.","United States","{John von Neumann Theory Prize|Nobel Memorial Prize in Economic Sciences}","38","-97"
"Osamu Shimomura","Japan","Nobel Prize in Chemistry","36","138"
"Daniel Nathans","United States","{Nobel Prize in Physiology or Medicine|National Medal of Science}","38","-97"
"Ivar Giaever","Norway","NULL","62","10"
"Yasser Arafat","Israel","NULL","31.47","35.13"
"Peter Higgs","United Kingdom","{Nobel Prize in Physics|Wolf Prize in Physics|Dirac Prize|Sakurai Prize}","54","-2"
"Richard E. Taylor","Canada","Nobel Prize in Physics","60","-95"
"Murray Gell-Mann","United States","Nobel Prize in Physics","38","-97"
"Werner Arber","Switzerland","Nobel Prize in Physiology or Medicine","47","8"
"John Polanyi","Hungary","Nobel Prize in Chemistry","47","20"
"Gary Becker","United States","{Presidential Medal of Freedom|Pontifical Academy of Sciences|John von Neumann Award|John Bates Clark Medal|Nobel Memorial Prize in Economic Sciences}","38","-97"
"Derek Walcott","Saint Lucia","NULL","13.88333333","-60.96666666"
"Reinhard Selten","Germany","Nobel Memorial Prize in Economic Sciences","51","9"
"Robert Aumann","Israel","{John von Neumann Theory Prize|Israel Prize|Nobel Memorial Prize in Economic Sciences|Harvey Prize}","31.47","35.13"
"Jerome Isaac Friedman","United States","Nobel Prize in Physics","38","-97"
"Leon Cooper","United States","NULL","38","-97"
"Akira Suzuki (chemist)","Japan","{Nobel Prize in Chemistry|Order of Culture|Person of Cultural Merit}","36","138"
"Hamilton O. Smith","United States","Nobel Prize in Physiology or Medicine","38","-97"
"Tomas Tranströmer","Sweden","NULL","62","15"
"James Cronin","United States","{Nobel Prize in Physics|National Medal of Science|Franklin Institute}","38","-97"
"Riccardo Giacconi","Italy","{Nobel Prize in Physics|Elliott Cresson Medal}","42.83333333","12.83333333"
"Burton Richter","United States","NULL","38","-97"
"Alice Munro","Canada","{Nobel Prize in Literature|Governor General's Awards|Scotiabank Giller Prize|Man Booker International Prize}","60","-95"
"Michael Smith (chemist)","Canada","Nobel Prize in Chemistry","60","-95"
"V. S. Naipaul","United Kingdom","NULL","54","-2"
"Sheldon Lee Glashow","United States","Nobel Prize in Physics","38","-97"
"Dudley R. Herschbach","United States","{Nobel Prize in Chemistry|Irving Langmuir Award}","38","-97"
"Oliver E. Williamson","United States","{John von Neumann Award|Nobel Memorial Prize in Economic Sciences}","38","-97"
"Pierre-Gilles de Gennes","France","{Nobel Prize in Physics|Wolf Prize|Lorentz Medal|Harvey Prize}","46","2"
"Robert Mundell","Canada","Nobel Memorial Prize in Economic Sciences","60","-95"
"Walter Gilbert","United States","Nobel Prize in Chemistry","38","-97"
"François Englert","Belgium","{Nobel Prize in Physics|Wolf Prize in Physics|Francqui Prize|Sakurai Prize}","50.83333333","4"
"Melvin Schwartz","United States","Nobel Prize in Physics","38","-97"
"Elinor Ostrom","United States","NULL","38","-97"
"Peter Mansfield","United Kingdom","{Royal Society|Nobel Prize in Physiology or Medicine|Orders decorations and medals of the United Kingdom}","54","-2"
